,subject,Baseline,Amusement4,Anger3,Excitement,Neutral6,Sadness2
186,187,7.4999733,9.099917,8.899921,7.4999332,8.899921,8.399926
187,188,9.899965,9.899912,9.899912,9.899912,9.899912,8.723038
188,189,8.833647,9.099917,6.1999445,2.3999786,8.169165,9.899912
189,190,6.8721743,7.4999332,9.899912,9.899912,9.599915,9.899912
190,191,8.692631,6.3999443,6.1999445,4.7999573,8.99992,7.5999312
191,192,8.89997,9.13821,3.9192774,9.879167,8.899921,5.415574
192,193,4.099188,4.0787153,5.499951,7.299936,5.599949,6.7999406
193,194,8.799971,7.503402,3.6999676,8.799923,7.899931,6.5768433
194,195,4.999982,5.037302,7.8534026,9.379545,4.6837087,5.099954
195,196,4.7847724,8.394331,2.527675,2.2999792,1.0071231,9.899912
196,197,5.9472766,2.5999768,6.499942,7.5420375,4.7999573,7.799932
197,198,6.7117066,3.0304184,6.9646397,8.001751,3.9364088,4.30544
198,199,5.2999806,8.336415,9.899912,9.899912,9.899912,9.899912
199,200,4.4037075,2.0999815,6.486076,6.5699763,4.90806,3.7908857
200,201,3.1687481,5.4195824,2.9497416,5.7049394,3.1249056,3.4727597
201,202,7.1999726,6.163295,7.5024023,8.279751,2.2005024,2.8244345
202,203,3.9511409,5.1999536,2.7248409,9.099917,5.499951,7.6999307
203,204,6.5798645,4.7999573,4.998738,5.099954,5.099954,5.099954
204,205,4.999982,7.4999332,9.899912,9.899912,4.999955,9.899912
205,206,5.5177817,5.124564,6.628196,6.382199,4.2827353,6.7999406
206,207,5.951103,6.6999397,7.199935,8.599366,6.5999403,5.499951
207,208,9.340193,3.899966,9.899912,7.3726554,9.322096,9.599915
208,209,5.2999806,5.2999525,5.2999525,5.6999483,5.2999525,5.6999483
209,210,9.899965,9.899912,9.099917,8.904693,5.099954,5.8999486
210,211,6.80668,7.799932,5.1999536,5.617451,7.799932,9.899912
211,212,6.5999756,6.5999403,4.821828,6.3999443,4.9795666,5.099954
212,213,6.4999766,6.3999443,3.6999676,4.999955,6.3999443,6.499942
