,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
10,32.0,5.372799,5.421943,5.466109,5.501536,5.533007,5.558922,5.575464,5.5816865,5.5830593,5.5833,5.5680046,5.541324,5.5099263,5.472742,5.427155,5.3770404,5.315885,5.2372594,5.1616187,5.0580306,4.922314,4.6615195,4.463816,4.468717,4.494514,4.506197,4.514835,4.5246196,4.5341125,4.543004,4.549288,4.5582967,4.5678554,4.575667,4.5813546
11,33.0,5.10467,5.1045747,5.104817,5.1050467,4.7069116,4.7074046,4.7086964,4.709699,4.7096314,4.7090135,4.707432,4.7060466,4.709365,4.7181754,4.731279,4.738499,4.740408,4.7331014,4.702308,4.69103,4.6817245,4.6502266,4.618521,4.5769386,4.5049667,4.472723,4.483917,4.5775757,4.628188,4.6333,4.6524553,4.6477695,4.6514544,4.675711,4.699315
12,35.0,4.305742,4.3869925,4.3921323,4.396984,4.399447,4.396899,4.394049,4.391561,4.389004,4.3862834,4.3835573,4.382236,4.379132,4.2939672,4.2903275,4.286615,4.2855425,4.2852974,4.285139,4.2849107,4.2847767,4.2843723,4.284146,4.2825484,4.282737,4.282805,4.282958,4.2831807,4.283556,4.283646,4.2839046,4.284125,4.2844234,4.289344,4.291046
13,4.0,4.6559043,4.7710643,4.876829,4.95488,5.0187798,5.0874276,5.1392894,5.192229,5.439837,5.4337673,5.417965,5.3968563,5.3666344,5.3601785,5.3673763,5.383181,5.396704,5.393421,5.3881173,5.3704543,5.1289315,5.120545,5.129756,5.156798,5.1885133,5.223889,5.246449,5.2564445,5.255753,5.2398324,5.2151246,5.182581,5.1390285,5.1185927,5.0471425
14,42.0,5.1212564,5.1194425,5.383669,5.379805,5.3764358,5.390503,5.4411507,5.572096,5.6664314,5.727575,5.76364,5.7818694,5.7848296,5.773735,5.5076027,5.462358,5.401629,5.322809,5.1623974,5.0528674,5.0473847,5.0434422,5.0412903,5.0362515,5.0267577,5.0163264,5.004371,4.9931293,4.9809775,4.9701734,4.980629,4.966213,4.9502883,4.933134,4.916345
15,45.0,5.0465875,5.044756,5.0405545,5.0336304,5.000189,5.0016665,5.0195274,5.038856,5.0472164,5.0454,5.0289197,5.1097093,5.1825485,5.2388263,5.2803435,5.316425,5.3246703,5.3184795,5.321057,5.300521,5.275971,5.2056537,5.0955396,5.0810504,5.0746365,5.070209,5.0665603,5.0601373,5.0702677,5.077369,5.1464944,5.2337704,5.2760253,5.3183737,5.343218
16,47.0,5.714618,5.773852,5.832916,5.876455,5.9023914,5.915182,5.242704,5.2437043,5.2246056,5.1954246,5.16409,5.100961,5.018335,5.012886,4.9990435,4.977947,4.9895134,5.0468197,5.0407047,5.04141,5.056375,5.076788,5.090918,5.097584,5.1044946,5.113856,5.118828,5.130306,5.1270666,5.0967793,5.1071353,5.1156745,5.1173005,5.1259274,5.128129
17,48.0,5.082779,5.0829215,5.706057,5.7057576,5.7054024,5.7056146,5.706206,5.707751,5.708814,5.707089,5.704412,5.7024326,5.700318,5.700152,5.080097,5.3600993,5.361326,5.360184,5.358748,5.357168,5.357172,5.3607388,5.363004,5.3650327,5.3661156,5.3618836,5.3577685,5.0515256,5.047195,5.0480313,5.052975,5.0584884,5.0522118,5.038133,5.0315523
18,49.0,4.0641394,4.0404596,4.0140805,3.98542,3.9552758,3.9424286,3.9366505,3.9312937,3.9382331,3.9462311,3.952591,3.957118,3.9590752,3.959926,3.9607983,3.961726,3.9633934,3.96465,3.9654295,3.9662478,3.9662104,3.9652011,3.9646845,3.9649704,3.9678185,3.9685462,3.9690416,3.9690826,3.9677198,3.9658182,3.9642067,3.961902,3.9599226,3.9580357,3.9564006
19,54.0,4.73688,4.738399,4.7437434,4.749111,4.753782,4.758161,4.760471,4.761543,4.7704577,4.7869744,4.799058,4.8103747,4.8224487,4.8348126,4.8441157,4.849639,4.855346,4.8563933,4.855283,4.8543053,4.8461876,4.831219,4.8197136,4.8084383,4.798298,4.788353,4.778318,4.770623,4.9282875,4.9248204,4.9247236,4.924704,4.9244404,4.9247336,4.9338965
20,55.0,3.9514754,4.0317435,4.1172924,4.166454,4.1923103,4.19671,4.1973305,4.198256,4.199731,4.201841,4.2043896,4.411568,4.392277,4.3595533,4.3192444,4.285749,4.2586966,4.256093,4.2574744,4.257144,4.2571573,4.2574067,4.2581754,3.8590736,4.013542,4.097828,4.1751037,4.245914,4.3133984,4.377675,4.437021,4.495799,4.5307956,4.564438,4.5996337
21,6.0,5.2470155,5.2472835,5.247988,5.24937,5.2469826,5.2464643,5.246657,5.2471375,5.246714,5.247383,5.2479186,5.2538424,5.1552873,5.1899133,5.2200375,5.2482085,5.284163,5.329221,5.395506,5.3763356,5.342497,5.2909346,5.218769,5.1300263,5.032264,4.9266477,4.7982445,4.6324477,4.4793324,4.2355285,4.073826,4.0757823,4.0798783,4.0930414,4.1067877
22,66.0,4.7758055,4.7748547,4.7744427,4.7740254,4.7737603,4.773733,4.773627,4.804857,4.106912,4.1414514,4.5539536,4.5535707,4.5479956,4.542311,4.5354586,4.5279064,4.529316,4.521283,4.514108,4.5208898,4.5218506,4.523606,4.1040764,4.0880303,4.077414,4.06017,4.034853,4.003896,4.003224,3.9924135,3.9723136,3.9592717,3.9497824,3.9395943,3.9312117
23,69.0,3.8067691,3.81299,3.8191783,3.8243558,3.8229275,3.8178937,3.8149793,3.8123877,3.8103275,3.8102255,3.8107016,3.811128,3.8117554,3.8121712,3.815543,3.8176203,3.8172176,3.8162587,4.0102477,4.008964,4.0067,4.0036464,4.0008826,3.9978878,3.9955046,3.9932632,3.9907196,3.9903448,3.9924276,3.994727,3.8023405,3.8054326,3.8083944,3.8111322,3.8133137
24,7.0,5.7439046,5.7343345,5.695604,5.627126,5.519978,5.383984,5.2500005,5.2046833,5.1938634,5.1609483,5.128113,5.07814,4.901424,4.862182,5.003489,5.102189,5.1889725,5.3598404,5.4056144,5.4117837,5.416447,5.436911,5.4946976,5.5310636,5.4908786,5.4491687,5.393993,5.325461,5.269005,5.134584,5.015873,5.0864067,5.1585045,5.2045364,5.109752
25,8.0,4.354589,4.227424,4.2250113,4.183165,4.206204,4.254582,4.322987,4.370604,4.383706,4.342507,4.3395467,4.3748517,4.3974814,4.397379,4.409282,4.414971,4.3809633,4.319016,4.2162733,4.1447463,4.146401,4.1510243,4.1388283,4.1045346,4.0436163,4.0411906,4.047815,3.9934435,3.950159,3.9441357,3.926119,3.9045656,3.8887854,4.224691,4.225441
