,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
11,72.0,4.1253786,4.1042113,4.104184,4.104098,4.1042304,4.1043935,4.104458,4.104525,4.1045194,4.104614,4.1044116,4.104445,4.1044583,4.104302,4.1042275,4.104107,4.1041,4.103906,4.1038556,4.103708,4.1106853,4.29377,4.37731,4.4378443,4.48611,4.52629,4.5520186
12,77.0,3.8044043,3.8040917,3.8036754,3.8034494,3.803254,3.8030167,3.8028288,3.8026416,3.8024867,3.8023903,3.8021533,3.8020504,4.217809,4.2177386,4.2175746,4.217352,4.217111,4.216865,4.216535,4.2162533,4.2158847,4.215492,4.215203,4.215606,3.8004644,3.8133438,3.8195302
13,78.0,5.1044927,5.0691648,5.0614758,5.073991,5.0844097,5.1167617,5.1045184,5.0859194,5.074305,4.6479774,4.627292,4.6024632,4.5735235,4.5470576,4.5070477,4.468021,4.4167423,4.328164,4.321305,4.3325953,4.314791,4.314644,4.307146,4.3017187,4.297382,4.2931914,4.3069115
14,79.0,4.997707,4.9990783,4.9993424,4.999594,4.9998016,5.000187,5.000691,5.001215,5.00169,5.002134,5.00268,5.00283,5.002743,5.002621,5.0025506,5.0024223,5.0023665,5.002361,5.0022273,5.002146,5.00212,5.002016,5.001951,5.0018888,5.001982,5.0020013,5.001971
15,80.0,4.0446067,4.0516057,4.071999,4.0910583,4.1089735,4.125962,4.1419506,4.157338,4.1721015,4.186308,4.199873,4.212979,4.2257395,4.2344832,4.2343454,4.2342324,4.2343345,4.2343,4.231829,4.231713,4.233085,4.23432,4.235671,4.237021,4.238247,4.2395325,4.240303
16,82.0,4.016035,4.0158105,4.0164037,4.022693,4.030474,4.0381703,4.0444617,4.050509,4.053411,4.0563226,4.05915,4.0599527,4.061607,4.06352,4.064471,4.063117,4.0600724,4.0565944,4.054754,4.052203,4.0523777,4.05144,4.050556,4.051806,4.0522914,4.0526643,4.0530553
17,83.0,4.4311566,4.4089913,4.4076495,4.415694,4.417484,4.4184556,4.41937,4.5389247,4.6579227,4.75466,4.83656,4.998363,5.146394,5.2679496,5.3697944,5.45542,5.527367,5.5870805,5.6353474,5.657973,5.671753,5.681376,5.6868997,5.6825614,5.682093,5.68173,5.6813207
18,84.0,3.9316294,3.9332628,3.9373446,3.94251,3.9553545,4.0824804,4.2733655,4.4171658,4.537067,4.64096,4.732906,4.815861,4.8908467,4.9284806,4.9639616,5.021631,5.077951,5.0680366,5.04567,5.052474,5.0613275,5.069242,5.076858,5.084159,5.089787,5.1177554,5.142899
19,85.0,3.5243425,3.446514,3.4454534,3.4446821,3.4436972,3.442551,3.4413588,3.440009,3.438732,3.4374151,3.4360502,3.4356587,3.4350908,3.4360685,3.4370716,3.43796,3.4387958,3.439831,3.4409323,3.4420261,3.4436073,3.4449437,3.4463809,3.4468842,3.4475105,3.448674,3.449362
20,87.0,5.2424445,5.241632,5.2415023,5.241357,5.2413163,5.241319,5.241352,5.241556,5.241615,4.9242864,4.9206595,4.92117,4.916701,4.9142118,4.910608,4.907032,4.903511,4.899998,4.896477,4.8891683,4.8818903,4.875067,4.8723145,4.865034,4.863295,4.8602605,4.858104
