,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
10,71.0,11.0856,9.910032,10.010416,9.96523,11.757359,10.607158,9.943607,5.6278644,5.7852144,5.708152,5.6886086,5.73568,5.514761,5.5285974,5.5226693,5.5279512,5.47678,5.5139036,5.4715767,5.5457735,5.478452,5.668021,5.50403,5.5407667,5.495629,5.4960785,5.472957,5.4703107,5.476109,5.4753103,5.4886575,5.4732227,5.8359137,5.6127105,5.5280504,5.530821,5.7960114,5.675068,5.500301361083984
11,72.0,10.167242,177.1841,9.379005,9.44126,9.618169,9.589472,9.632664,9.537692,9.680401,9.443356,9.632752,9.326667,9.423066,9.412414,9.407677,9.423461,10.674165,28.377054,9.970503,11.746484,11.721889,9.932274,9.934782,9.945081,10.189423,10.720879,9.935649,9.9368105,9.934502,9.942612,9.934486,10.583818,11.919059,9.727301,9.757158,9.875762,9.77268,9.763935,
12,77.0,9.891881,9.880914,10.240262,9.904356,9.881099,10.131044,11.23728,9.911169,10.379587,12.239185,9.918331,10.269017,8.691758,9.365817,8.898357,9.471423,10.481489,9.742879,9.742608,9.733125,9.752191,10.316367,11.174686,9.851898,9.856024,9.851368,9.945597,9.816824,9.821939,9.817156,9.9078865,10.225176,9.834661,9.869029,9.833785,9.838352,9.838352,9.846324,9.825325965881348
13,78.0,14.555224,14.816402,12.041643,14.626081,12.991918,18.702263,18.47372,16.215704,11.521372,12.623044,13.553876,17.131178,13.903765,11.481808,11.295346,13.423742,14.534464,12.017283,14.669161,14.865937,17.529856,17.58973,11.318741,10.117573,10.814726,13.591151,12.154683,10.684569,11.06213,11.281784,18.981672,13.683239,14.260737,15.0476055,9.711604,10.0423155,9.390926,9.385508,9.381378173828125
14,79.0,9.455509,8.355373,10.377257,9.850834,10.760952,11.880064,13.678039,12.120385,8.674797,7.3900447,7.9478087,9.248731,7.195553,10.575624,6.9347234,8.512465,9.781309,14.582148,11.69309,12.280991,11.202805,11.06887,17.538864,16.780928,12.890329,14.8752165,10.147016,7.759219,13.180279,11.931971,10.499136,13.275763,10.086861,11.2262745,11.233249,11.335405,15.252455,13.826966,6.784163951873779
15,80.0,9.138847,8.93709,9.019939,9.14948,9.107983,9.434509,9.432063,9.16861,9.068024,9.0399,9.431891,9.167354,9.34046,9.153408,9.132381,11.0012865,9.779034,9.836107,10.241319,9.743933,9.758635,10.278601,9.768652,9.888308,9.8449745,11.109173,9.621174,9.618831,9.605967,9.634281,9.636711,9.608528,9.791132,9.703369,10.59509,9.69552,9.999448,10.424773,9.659276962280273
16,82.0,8.690194,8.776757,14.42519,14.507806,11.796866,9.660055,9.666542,9.674451,9.767471,16.09781,9.324594,9.33704,9.333771,9.3108,9.271579,9.265329,10.005221,10.986803,9.656177,9.667219,9.649877,9.579549,9.8003235,9.353847,9.446248,9.407622,9.379279,9.388093,9.6184,9.30638,9.1945715,9.110481,11.928546,9.691463,8.980917,9.016669,8.781653,8.813469,8.781752586364746
17,83.0,9.181598,9.461362,9.480746,20.862186,11.042184,15.733438,14.395825,9.907322,11.261783,11.459547,9.734284,8.295747,9.003594,8.83608,9.235153,9.988037,8.795118,10.394276,144.92143,11.328865,9.751844,8.95033,10.534898,9.564552,10.633725,8.912414,8.584204,9.61477,9.600813,9.234664,8.42019,9.73338,10.206397,9.628592,8.851513,9.111664,8.76448,8.673761,
18,84.0,14.313791,10.204974,9.4267235,20.507332,9.830306,9.963067,9.935784,9.883255,9.748574,9.871211,9.843624,9.815326,9.736514,9.799411,9.722025,9.727352,9.735305,9.788536,9.836145,9.822601,9.915001,9.798323,9.805438,9.789135,9.8717785,9.813981,9.84247,9.813618,9.809865,9.799282,9.794356,9.789579,9.785691,10.154174,9.889697,8.820633,8.670016,8.99134,8.78076171875
19,85.0,11.8214245,10.695319,10.093965,21.00287,8.607189,16.240192,12.85899,11.034585,10.983427,11.034875,113.279274,10.252597,10.343238,10.429626,10.097747,10.073253,10.707864,10.600736,10.010095,9.908676,10.449761,11.045857,9.876202,10.661725,11.301614,10.606605,11.0652275,10.59727,11.241548,11.455053,11.244576,10.56691,10.3913765,10.262225,9.899684,9.899712,10.732056,10.950459,
