,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
14,42.0,0.010166665,0.010166665,0.010166665,0.010166665,0.010166665,0.010166665,0.010166665,0.010166665,0.010166665,0.010166665,0.009999999,0.009999999,0.009999999,0.009999999,0.009999999,0.009999999,0.009999999,0.009999999,0.009999999,0.009999999,0.009999999,0.009999999
15,45.0,0.049666665,0.053999998,0.053999998,0.054166663,0.059333336,0.057666663,0.057166662,0.059,0.064333335,0.06483333,0.0605,0.054333333,0.054166667,0.04899999,0.049,0.044333328,0.04416666,0.046166666,0.040499996,0.036999997,0.028166668,0.022105264
16,47.0,0.024999999,0.024666667,0.033666667,0.03483333,0.030666666,0.029833328,0.028499998,0.028499998,0.027166665,0.026833331,0.026666665,0.025,0.022833334,0.022333331,0.013166664,0.011666665,0.011666665,0.016833331,0.017833332,0.017333332,0.018833332,0.019473685
17,48.0,0.009999999,0.010833332,0.011166665,0.011166665,0.011166665,0.011166666,0.011166665,0.011166665,0.011166665,0.011333331,0.0113333315,0.011499998,0.011499999,0.010833332,0.010499999,0.010833331,0.010999998,0.010999997,0.010999997,0.010999998,0.011333331,0.011403508
18,49.0,0.013666664,0.014166664,0.014833331,0.014999998,0.0151666645,0.01583333,0.016333332,0.016666664,0.016833331,0.016999997,0.017166665,0.017833332,0.0175,0.01783333,0.017666664,0.017833332,0.018,0.017166667,0.016499998,0.015833331,0.015499997,0.014912279
19,54.0,0.022333331,0.022666665,0.022333331,0.022166666,0.021666666,0.020999998,0.020166665,0.02033333,0.018833332,0.019666664,0.020499999,0.020499997,0.019666666,0.020166663,0.019666666,0.01983333,0.019499999,0.01933333,0.019166665,0.020999998,0.020999998,0.02122807
20,55.0,0.015499998,0.01533333,0.015666666,0.016166665,0.015999999,0.016166665,0.016333332,0.016333332,0.016666664,0.016666664,0.016333332,0.015999997,0.016333332,0.016666664,0.016666664,0.016333332,0.015999999,0.015833331,0.01583333,0.015999997,0.016166665,0.016315788
21,6.0,0.021166665,0.020499999,0.020333331,0.019166667,0.017333332,0.015666666,0.013166666,0.012833332,0.011833332,0.012999998,0.012499999,0.012333332,0.011999998,0.011833332,0.011666666,0.011666665,0.011666665,0.012166664,0.012499998,0.012499998,0.012499998,0.01122807
22,66.0,0.017666666,0.017666666,0.017666666,0.017666666,0.0175,0.017166665,0.016666664,0.016166665,0.016166665,0.015333333,0.0151666645,0.014666664,0.014999998,0.01533333,0.014999998,0.014833331,0.014999998,0.014999998,0.01533333,0.015666666,0.016166665,0.016491227
23,69.0,0.017833332,0.016999999,0.017666666,0.018,0.018166665,0.018333333,0.018666664,0.018833332,0.01933333,0.01933333,0.01933333,0.022499997,0.023333332,0.02383333,0.022666665,0.021999998,0.022666665,0.022833329,0.023333332,0.024833329,0.02683333,0.026842104
24,7.0,0.02433333,0.024499996,0.020333331,0.019499997,0.01933333,0.023,0.024166664,0.024499996,0.025,0.026666665,0.025333332,0.022166666,0.020666664,0.021333331,0.021333333,0.021999998,0.021999998,0.018333333,0.019166665,0.01983333,0.024666665,0.02473684
25,8.0,0.015499999,0.0155,0.015666666,0.016499998,0.018,0.01983333,0.015499999,0.015333333,0.015499998,0.015499999,0.015666666,0.015666666,0.015999999,0.019499997,0.01983333,0.02033333,0.018999998,0.017166665,0.016499998,0.016666666,0.0165,0.01964912
