,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
10,71.0,5.3068085,5.3179984,5.3263383,5.330637,5.326185,5.3340187,5.343712,5.349877,5.342144,5.3423886,5.341104,5.338915,5.3343015,5.331302,5.3333716,5.33407,5.3410087,5.3472238,5.353538,5.3598647,5.365645,5.371757,5.3782654,5.380628,5.3758874,5.3708024,5.365185,5.362498
11,72.0,5.3219395,5.335809,5.3656483,5.372106,5.4163795,5.4143066,5.41238,5.402765,5.3906503,5.3745723,5.328737,5.2885747,5.275806,5.259935,5.207702,5.177984,5.083281,5.057487,5.012451,4.995206,4.982588,4.971439,4.9602413,4.9463086,4.9318504,4.9100666,4.8886437,4.8880763
12,77.0,5.1712356,5.2473197,5.3105364,5.3371778,5.450084,5.5136313,5.574759,5.617209,5.6207867,5.6291795,5.590267,5.5671806,5.5461316,5.5616245,5.5654984,5.5600934,5.5700593,5.5927978,5.599283,5.578074,5.571743,5.53632,5.4812293,5.420307,5.348472,5.34901,5.324474,5.327947
13,78.0,5.6402946,5.5214996,5.443047,5.419197,5.2676806,5.2284083,5.1657147,5.10186,5.025849,4.9134545,4.7614007,4.7793517,4.920442,5.0378737,5.1927433,5.2519617,5.2748694,5.3688264,5.4252076,5.4313965,5.4653015,5.48275,5.4884987,5.487601,5.4809036,5.4503274,5.450312,5.4443645
14,79.0,5.2972813,5.3163166,5.340815,5.2897277,5.0592966,4.8646164,4.823343,4.794489,4.7526674,4.838281,4.8610926,4.807893,4.750424,4.6922255,4.5892415,4.75981,4.9255214,5.0303106,5.1577363,5.1495414,5.141956,5.0336375,4.9745317,4.976358,4.971851,4.9524727,4.9586663,4.8264704
15,80.0,5.450405,5.4646816,5.4745483,5.479795,5.464237,5.4418626,5.429489,5.4167037,5.4084816,5.3974996,5.3877316,5.3764515,5.3717213,5.364756,5.3580194,5.351028,5.335423,5.3254695,5.316815,5.311664,5.3044243,5.298944,5.2878838,5.28882,5.3124976,5.366571,5.394956,5.409537
16,82.0,5.604519,5.5656915,5.50902,5.435339,5.348999,5.3312135,5.3123736,5.2803364,5.236373,5.13358,5.093612,5.196593,5.39276,5.5041656,5.558399,5.573279,5.552635,5.524862,5.485142,5.4568267,5.427166,5.4175396,5.432772,5.4298196,5.4948273,5.563383,5.5995355,5.6141057
17,83.0,5.6157174,5.629742,5.6353245,5.62953,5.584265,5.566361,5.498648,5.9828243,5.952334,5.937119,5.9087358,5.88847,5.8588395,5.862396,5.932547,5.9565597,5.9608226,5.9569907,5.9506783,5.40831,5.3970504,5.3885517,5.3961053,5.398281,5.4151993,5.4270263,5.3525276,5.341043
18,84.0,4.729564,4.726116,4.727434,4.7021537,4.6942344,4.696556,4.701401,4.7053604,4.709564,4.7104096,4.7083535,4.715422,4.7190366,4.7144427,4.7127934,4.712337,4.7051773,4.6987824,4.6889644,4.68263,4.6799183,4.680734,4.6748347,4.6700306,4.6585994,4.6522512,4.642128,4.6350236
19,85.0,5.523002,5.544937,5.5583878,5.565323,5.560196,5.5326533,5.4839096,5.4416137,5.393192,5.3262076,5.25527,4.892385,4.8349013,4.813227,4.8216558,4.838217,4.8414693,4.8376303,4.8328466,4.8283653,4.8194065,4.8131003,4.8060207,4.797068,4.782987,4.758192,4.735711,4.7243276
