,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
11,72.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,77.0,4.4533371925354,4.446499347686768,4.441684246063232,4.432469367980957,4.404957294464111,4.384190082550049,4.3814167976379395,4.376187801361084,4.364444255828857,4.362234115600586,4.3624186515808105,4.364879608154297,4.366798400878906,4.362895488739014,4.359513759613037,4.355020999908447,4.350645065307617,4.346194744110107,4.339419841766357,4.333215713500977,4.332186698913574,4.329788684844971,4.319915294647217,4.305339336395264,4.2997612953186035,4.293880939483643,4.287388801574707,4.276708602905273,4.277954578399658,4.278319358825684,4.273151874542236
13,78.0,3.8809711933135986,3.9054763317108154,3.9142332077026367,3.920504331588745,3.9337775707244873,3.980400800704956,4.047455787658691,4.099052906036377,4.119537353515625,4.1484551429748535,4.181617259979248,4.206883430480957,4.2287750244140625,4.247874736785889,4.272686004638672,4.300320148468018,4.307194232940674,4.301054954528809,4.285038948059082,4.2623772621154785,4.234866619110107,4.215000152587891,4.1879801750183105,4.161954402923584,4.134298801422119,4.104433536529541,4.0782551765441895,4.0612568855285645,4.04941987991333,4.029031753540039,4.00432825088501
14,79.0,5.239592552185059,5.244100570678711,5.2237725257873535,5.2053728103637695,5.217484951019287,5.2281494140625,5.237797260284424,5.242099285125732,5.243356704711914,5.267445087432861,5.254937171936035,5.217649936676025,5.199728012084961,5.20266580581665,5.209575176239014,5.221885681152344,5.232209205627441,5.387016773223877,5.378898620605469,5.390016555786133,5.397123336791992,5.38937520980835,5.381776809692383,5.378538608551025,5.375644683837891,5.372655391693115,5.357454299926758,5.34111213684082,5.3233113288879395,5.154053688049316,5.718767166137695
15,80.0,3.6288721561431885,3.631511926651001,3.632128953933716,3.63207745552063,3.631782293319702,3.630603790283203,3.6308562755584717,3.6320207118988037,3.6350114345550537,3.6387014389038086,3.9801409244537354,3.982663154602051,3.9848995208740234,3.986790895462036,3.9898977279663086,3.993307113647461,3.9966695308685303,3.999006509780884,4.0004448890686035,4.001718044281006,4.002153396606445,4.002151012420654,3.6771440505981445,3.6775684356689453,3.6780927181243896,3.678905487060547,3.679182767868042,3.6790361404418945,3.679011344909668,3.6789445877075195,3.678173303604126
16,82.0,4.764022350311279,4.769758224487305,4.774305820465088,4.73879861831665,4.738064289093018,4.734926700592041,4.735290050506592,4.73509407043457,4.735790729522705,4.729043960571289,4.719710826873779,4.711555004119873,4.713050365447998,4.713472843170166,4.715046405792236,4.716037273406982,4.717107772827148,4.7211995124816895,4.722014904022217,4.780783176422119,4.786558628082275,4.789351940155029,4.792182922363281,4.795138835906982,4.7965874671936035,4.797635555267334,4.79851770401001,4.799805164337158,4.801110744476318,4.801553249359131,4.80379581451416
17,83.0,5.222292423248291,5.244470119476318,5.286489009857178,5.320001602172852,5.34502649307251,5.350799083709717,5.301949501037598,5.297428607940674,5.292718887329102,4.6992621421813965,4.706429958343506,4.654599666595459,4.576237201690674,4.536929607391357,4.492401123046875,4.467979907989502,4.393316745758057,4.3991265296936035,4.391232013702393,4.376620769500732,4.384039878845215,4.36631441116333,4.368041515350342,4.369781970977783,4.363246440887451,4.398003101348877,4.427200794219971,4.438904762268066,4.4715962409973145,4.484106540679932,4.5051116943359375
18,84.0,4.804283142089844,4.783137798309326,4.774678707122803,4.767314434051514,4.752171993255615,4.732922077178955,4.704857349395752,4.666895389556885,4.632697582244873,4.604294776916504,4.560800075531006,4.54770040512085,4.5452189445495605,4.53739595413208,4.51694917678833,4.4961161613464355,4.477695941925049,4.4652323722839355,4.496304988861084,4.51167106628418,4.518280506134033,4.515604496002197,4.524077415466309,4.530007362365723,4.526264667510986,4.523113250732422,4.517065048217773,4.515104293823242,4.518243789672852,4.523582458496094,4.4909138679504395
19,85.0,4.975759983062744,4.988094806671143,4.989163398742676,4.9993696212768555,5.033671855926514,5.044800281524658,4.981053352355957,5.00911808013916,5.024994373321533,5.019994735717773,4.994287967681885,4.960216045379639,4.91984224319458,4.8874406814575195,4.878542423248291,4.877228260040283,4.8544487953186035,4.821781635284424,4.7850565910339355,4.715341567993164,4.657983303070068,4.6346611976623535,4.6291728019714355,4.617801189422607,4.614808559417725,4.608832836151123,4.549405097961426,4.567596912384033,4.639193058013916,4.705284595489502,4.745701313018799
20,87.0,5.060214519500732,5.055878162384033,5.048472881317139,5.043454170227051,5.0328288078308105,5.018644332885742,5.005734920501709,4.991781234741211,4.976205825805664,4.974659442901611,5.411675930023193,5.404878616333008,5.4022369384765625,5.3990478515625,5.396566867828369,5.392782688140869,5.393040180206299,5.395982265472412,5.396537780761719,5.398693084716797,5.401144504547119,5.401003360748291,4.960170745849609,4.963061809539795,4.960784912109375,4.953874588012695,4.954177379608154,4.955193042755127,4.955850601196289,4.953306674957275,4.953148365020752
21,88.0,4.107412815093994,4.148866176605225,4.178246021270752,4.21431303024292,4.257571697235107,4.298820972442627,4.340298652648926,4.37450647354126,4.414010524749756,4.447668075561523,4.431055068969727,4.416683197021484,4.391036510467529,4.378028869628906,4.376806735992432,4.379607200622559,4.379347324371338,4.37189245223999,4.366791725158691,4.370065689086914,4.380850315093994,4.381898880004883,4.385951995849609,4.3843674659729,4.385269641876221,4.3923563957214355,4.40154504776001,4.413496017456055,4.4189372062683105,4.41776180267334,4.417016983032227
22,89.0,5.126066207885742,5.0554423332214355,4.933940410614014,4.800223350524902,4.834375858306885,4.9132819175720215,4.941969394683838,4.971481800079346,5.034109115600586,5.101647853851318,5.467700481414795,5.483065128326416,5.474681377410889,5.473526477813721,5.498495101928711,5.540687561035156,5.545665740966797,5.545464992523193,5.555593013763428,5.603383541107178,5.663911819458008,5.708566188812256,5.472503662109375,5.527083873748779,5.57055139541626,5.606974124908447,5.6347479820251465,5.660287380218506,5.6806769371032715,5.700899600982666,5.72418737411499
23,91.0,4.761491298675537,4.769970417022705,4.749758243560791,4.76102876663208,4.737554550170898,4.777454853057861,4.779490947723389,4.80763578414917,4.825705051422119,4.880686283111572,4.9084272384643555,4.904768943786621,4.872469425201416,4.866909503936768,4.8800578117370605,4.88563871383667,4.92022705078125,4.916452407836914,4.919291019439697,4.902995586395264,4.905558109283447,4.885164260864258,4.876295566558838,4.8631978034973145,4.889398097991943,4.900062084197998,4.887284755706787,4.8936333656311035,4.880818843841553,4.885635852813721,4.923840522766113
24,92.0,4.02366304397583,4.046438694000244,4.145481586456299,4.122448444366455,4.141139507293701,4.15202522277832,4.155293941497803,4.164896011352539,4.175764083862305,4.179143905639648,4.189585208892822,4.2044806480407715,4.211099147796631,4.227303981781006,4.16760778427124,4.1780829429626465,4.177447319030762,4.207226276397705,4.244014263153076,4.264474391937256,4.295989990234375,4.304502010345459,4.308997631072998,4.309990406036377,4.3166351318359375,4.3225226402282715,4.32998514175415,4.342273235321045,4.355340003967285,4.33827543258667,4.3366570472717285
25,93.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
