,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46
10,32.0,6.019257,10.454192,9.499981,12.4733925,7.583947,7.6724577,8.283395,7.8332543,7.6714354,7.760777,7.7652044,7.8129425,8.798799,8.374149,8.423431,8.061294,8.130138,9.276133,8.364781,8.616994,8.797774,8.911237,7.6333337,7.8474727,13.768625,7.150351,6.9385176,6.9888005,7.369476,7.3258677,7.325049,6.4220505,7.9850097,8.074128,8.631097,9.23515,8.661404,8.79807,8.725944,8.663011,8.689529,8.608129,8.590807,9.111138,9.090089,9.196619
11,33.0,10.503253,10.516918,8.530581,7.814219,8.4636755,8.621726,8.004564,10.398355,14.600366,16.086123,10.388684,10.0587635,9.929632,9.89985,9.631449,9.603689,10.655598,9.9102545,10.75965,12.013378,4.57286,12.092363,10.565682,9.270924,10.791842,7.9119716,10.808154,21.265156,18.750135,19.127234,16.686056,21.454136,13.023368,8.353093,7.7649183,7.6776876,7.6586494,18.809088,11.0079775,10.882057,12.366718,9.780888,10.283622,9.859569,9.780901,9.666026
12,35.0,8.1953125,7.5375705,7.3846993,6.908952,6.9768987,6.921503,10.941778,13.298246,10.313878,10.058854,10.03127,7.3532968,7.6389275,7.981486,8.707754,15.904848,6.223507,6.0779023,5.8914137,8.338282,8.341723,8.637514,8.802338,7.7689276,7.7149196,6.7533627,7.1126547,7.3423448,6.9788547,6.9447536,6.824512,8.578132,8.091025,7.4470825,8.277878,8.955011,8.247727,9.891909,9.394323,9.4747305,9.257825,9.253588,9.47467,9.126016,5.029973,4.580677
13,4.0,7.6266356,7.832599,9.855397,10.839664,8.297594,7.7290716,7.8484178,11.810942,10.035533,9.831622,9.912168,9.870877,9.949634,9.553215,12.848928,11.219019,11.720185,13.790987,10.3752365,9.638177,9.65599,10.802383,9.840278,11.090606,9.873098,8.470673,12.290228,8.936021,8.874762,9.177269,8.994566,115.74799,8.345824,8.3846655,8.443329,8.55402,8.38707,8.302755,8.629435,7.943874,10.527748,9.444885,11.175978,12.45204,16.130524,10.117124
14,42.0,10.3946295,12.137753,9.840241,9.885291,11.804979,9.653596,17.821938,11.656959,17.242582,7.7352905,7.742345,7.7429476,8.101185,8.010443,7.7614717,7.762063,7.79909,12.876481,12.639069,2.6782687,1.657385,1.6391029,1.6015983,1.3126775,1.1958104,1.5757992,1.2028555,1.1010956,19.888449,3.1231642,3.1711254,2.7864242,2.8029294,2.8360157,16.034624,9.194878,9.00133,8.997259,9.088105,9.00897,9.013306,9.076552,9.510225,9.017474,9.017872,9.060615
15,45.0,18.539734,8.849559,7.904448,8.466975,8.393172,7.7005816,8.121212,7.8367085,8.363797,7.9706197,8.172842,8.879936,8.798362,8.333941,9.104583,9.180302,9.486947,8.411163,8.915229,9.368944,8.701174,8.453379,8.397926,8.385316,8.385316,8.39219,8.659102,8.795707,8.552488,9.246409,9.350255,9.073456,9.030751,9.192142,9.045786,8.932287,8.830876,8.965561,8.989028,8.95254,8.902383,10.100695,12.506476,6.723034,6.6083283,6.56054
16,47.0,10.110901,10.06152,9.994822,10.90313,11.086625,12.069399,12.139316,16.243912,10.285999,14.1829195,10.919937,10.074504,10.183022,9.946319,10.897902,9.998349,11.846115,13.438767,10.258254,10.578821,8.371699,10.044654,8.923825,8.761411,8.781309,10.729986,10.201685,10.082825,14.369046,9.253081,9.839448,9.698284,9.6280575,10.392568,9.376407,10.249193,10.074692,9.454929,9.8380785,9.314852,9.305209,9.421919,9.37584,9.616375,10.216851,9.955293
17,48.0,10.580605,10.154498,10.185774,9.772027,10.0184965,10.287534,11.947233,9.69055,9.771093,10.139925,9.827646,9.746062,10.666654,9.530409,9.544765,9.946324,9.640641,9.575205,9.491184,9.838543,9.83622,9.852976,10.586518,14.831481,8.356637,8.361299,11.760711,125.833466,6.1484957,8.164458,12.376353,6.8564143,21.216986,9.745972,8.187806,6.9989023,7.508799,6.9673667,6.5765004,6.70948,6.834637,6.3596907,5.996032,18.092875,10.006267,9.661857
18,49.0,9.416818,9.373442,9.450838,9.21419,9.822848,11.106407,10.343742,11.602318,9.827215,9.572816,10.226336,10.479035,9.759753,9.530897,9.401127,9.727545,10.2005625,10.248854,9.665022,9.951565,9.316769,10.245851,10.760404,9.376025,8.91295,10.059487,9.111301,8.988604,6.833833,6.704043,6.3909807,6.073357,5.936499,6.0824027,5.645537,5.4565096,6.357607,5.1470957,5.22077,5.1995826,5.1118574,5.3937397,5.928857,5.901363,5.02355,5.1422644
19,54.0,7.7157197,5.9568124,4.3923564,4.4814262,4.3865714,2.6936646,2.8037095,3.1826613,3.1390624,3.0161672,3.187309,4.0630736,4.613258,9.535851,5.620856,6.770692,4.1003904,0.70400363,0.7190643,0.7493775,1.5429662,1.1742758,1.1878855,1.2111079,1.25896,8.410759,7.9998336,5.698002,4.0729804,4.4392276,4.4091134,4.4901237,4.526143,4.605312,4.6670685,4.3197217,4.280993,4.2648497,4.4021406,110.32743,4.5428753,4.7900276,4.7188845,4.561115,9.834282,9.262254
