,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
0,21.0,1.7561453146141565e-05,1.6936688705729187e-05,1.6735249725143913e-05,1.6580982973029576e-05,1.6473810743496172e-05,1.6408668135094166e-05,1.638456379987356e-05,1.640375904734671e-05,1.6461597783197953e-05,1.6560570457001024e-05,1.6700272856973282e-05,1.688105778984549e-05,1.710188799918523e-05,1.7364268345138907e-05,1.766777960816465e-05,1.8013108491196047e-05,1.8401016983956663e-05,1.883344906349919e-05,1.9309093031207633e-05,1.9832798036152842e-05,2.040390448200912e-05,2.1024368047483468e-05,2.1693959902100484e-05,2.2415988835463186e-05,2.319568493986769e-05,2.231322118968044e-05
0,22.0,4.771058788409084e-05,4.584248628215991e-05,4.48431897854068e-05,4.3897485929047824e-05,4.344455348461605e-05,4.233101501822902e-05,4.168532192623398e-05,4.1119063844861774e-05,4.0653680120043764e-05,4.02635814545814e-05,3.994696420766296e-05,3.9718044207797763e-05,3.9569460297534e-05,3.948685411192536e-05,3.947788909265294e-05,3.9874277924716e-05,3.9705078102753174e-05,3.9937277268124944e-05,4.025209654190332e-05,4.063347229163725e-05,4.110728519436606e-05,4.167428277411198e-05,4.2314267485167955e-05,4.305258813621324e-05,4.388497837284841e-05,4.163932196498589e-05
0,23.0,5.315561756622931e-05,4.984621353824297e-05,4.763206244300866e-05,4.5537790356895844e-05,4.3556692898111284e-05,4.1683633208681575e-05,3.990951099227477e-05,3.8246146117304934e-05,3.666901082520366e-05,3.517893291995775e-05,3.377735905434804e-05,3.2458291274759866e-05,3.120693270457369e-05,3.0033938428209556e-05,2.8931233310091574e-05,2.789595107387063e-05,2.6923156885143327e-05,2.6012068404878347e-05,2.5157865033053844e-05,2.436289303040223e-05,2.3694786522670846e-05,2.2929040364634917e-05,2.228431067266689e-05,2.1692949126154998e-05,2.114447856394265e-05,1.9170401809504527e-05
0,24.0,5.914426424847934e-05,5.642748658663646e-05,5.4737660634800894e-05,5.3181187097744014e-05,5.1755865184626905e-05,5.0452964715975735e-05,4.926760048145947e-05,4.819825591608451e-05,4.723668670512977e-05,4.6385380544351934e-05,4.56382325562042e-05,4.4992117372055054e-05,4.444352893471808e-05,4.398936278084512e-05,4.3630384157954986e-05,4.336391156145463e-05,4.31919525816502e-05,4.311342667864754e-05,4.312715109767603e-05,4.323486330846706e-05,4.343692706408161e-05,4.373099897205706e-05,4.412259893431062e-05,4.4613596601877e-05,4.520404471137528e-05,4.2882175222785e-05
0,25.0,8.66668414931372e-06,7.806713575566633e-06,7.547574902702164e-06,7.31039429824096e-06,7.094939302712556e-06,6.90083441952539e-06,6.725898508908486e-06,6.570000551640361e-06,6.552498051563673e-06,6.306656843839691e-06,6.198423902919364e-06,6.1045858543472e-06,6.034076463645945e-06,5.958274251722555e-06,5.904498185192035e-06,5.863902664550086e-06,5.835914460689542e-06,5.817355735339159e-06,5.8111179938758385e-06,5.818074405615657e-06,5.835512833958684e-06,5.865013507584538e-06,5.903840695794768e-06,5.970519985609391e-06,6.018385363493514e-06,5.684831098527142e-06
0,26.0,2.672127492994517e-05,2.5176674025497587e-05,2.417530904484045e-05,2.327094216376466e-05,2.2438153255750224e-05,2.1667564354548114e-05,2.0967669998586828e-05,2.0317065889775497e-05,1.9729842631505228e-05,1.919564675940463e-05,1.8712264677915815e-05,1.8279177774957365e-05,1.7891893982913767e-05,1.7554827887636465e-05,1.7264483422635753e-05,1.6999653100789752e-05,1.6779878475255328e-05,1.659809806433302e-05,1.6458253452130178e-05,1.6351398405225395e-05,1.642716748881427e-05,1.624606866594176e-05,1.624616413712954e-05,1.6278197955179256e-05,1.63468356546505e-05,1.5272204452625415e-05
0,27.0,8.34432588559702e-05,7.877715704190256e-05,7.483860135413752e-05,7.128507067231023e-05,6.773158203706928e-05,6.452773839976175e-05,6.153551588638961e-05,5.874374649938306e-05,5.613929501461377e-05,5.371152615569669e-05,5.1449527735990245e-05,4.934411726179793e-05,4.738500081426206e-05,4.556254761184092e-05,4.3948698514845974e-05,4.229947374871358e-05,4.0844198009114155e-05,3.949781962569398e-05,3.8254526111890114e-05,3.710985063346351e-05,3.605811418252075e-05,3.5094259415849194e-05,3.4213427330069746e-05,3.3413547682750585e-05,3.26890957223815e-05,2.9772998200494998e-05
0,28.0,2.1213333206876175e-05,1.9736620691471675e-05,1.872845561223731e-05,1.779226572930591e-05,1.6892640533351298e-05,1.6091882725770747e-05,1.5341933952017206e-05,1.4651302590405026e-05,1.400900172544246e-05,1.3418670526398063e-05,1.2872182637756328e-05,1.236737920778862e-05,1.1900928641920261e-05,1.1470604788457315e-05,1.1073445942660161e-05,1.0732496211538506e-05,1.0369854385374918e-05,1.0060953689808015e-05,9.775705378394905e-06,9.514661874044591e-06,9.277611608702061e-06,9.060426143669776e-06,8.863197941388433e-06,8.684391128346706e-06,8.523167535418826e-06,7.802953270892955e-06
0,31.0,5.2825644712745636e-05,5.0744665681031566e-05,4.952749449633763e-05,4.8420248460477745e-05,4.741599864059179e-05,4.650971954684624e-05,4.569706791677806e-05,4.4974452514312405e-05,4.434541785959804e-05,4.3801312509196e-05,4.334490384888832e-05,4.2970292440299045e-05,4.2680363462003595e-05,4.247217805375672e-05,4.234548920561097e-05,4.234882164955606e-05,4.2336989105465896e-05,4.246169633753559e-05,4.266826052710067e-05,4.2954125443834474e-05,4.3558549444939963e-05,4.379027460025715e-05,4.433975030437485e-05,4.497891019756676e-05,4.571602369396652e-05,4.323060236857953e-05
0,32.0,6.408732576653251e-05,5.977922957551979e-05,5.634890398695159e-05,5.313386631634866e-05,5.012615639297694e-05,4.7307240131346475e-05,4.4666526648315766e-05,4.2196669211125094e-05,3.985579911182893e-05,3.7668403680206374e-05,3.5656244489561265e-05,3.36723350653076e-05,3.185593345670417e-05,3.0133263583359333e-05,2.8518952491179408e-05,2.7001600594884377e-05,2.5575178687994416e-05,2.423192900383224e-05,2.2968894079693298e-05,2.1784275324855288e-05,2.0666178786307565e-05,1.9622420939650943e-05,1.862476417258838e-05,1.769344267011166e-05,1.6812360617206934e-05,1.486188594490266e-05
