,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
0,108,7,6,5,7,7,6,6,6,5,5,5,4,5,5,4,5,5,6,7,7,7,6,4,4,4,4,5,5,4,6,5,5,4,4,3,3,3,2,3,2,3,3,4,4,6,5,5,5,5,4,4,4,3,3,4,4
0,109,4,3,4,4,4,4,4,3,3,3,4,3,3,4,3,3,3,3,2,3,2,3,3,3,3,3,3,2,3,3,2,3,4,3,3,4,8,11,11,11,11,8,4,4,4,4,3,3,4,4,4,4,5,4,3,4
0,110,4,4,5,3,4,4,3,3,3,2,3,3,4,3,5,5,6,6,6,5,5,6,5,5,4,4,2,3,4,3,3,4,3,3,3,3,3,5,5,5,6,6,4,4,5,4,3,4,4,3,5,5,6,5,6,3
0,111,3,4,5,4,4,4,3,3,4,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,3,3,4,4,3,3,3,3,3,4,5,4,3,3,2,2,2,2,2,3,2,3,3,3,2,3,2,2,2,3,2,3
0,112,3,3,4,4,3,4,6,5,6,6,6,5,5,5,5,6,5,5,5,4,4,3,3,3,3,4,4,3,2,3,3,4,4,4,4,3,1,3,3,4,5,6,4,4,5,3,3,4,5,4,7,10,13,12,11,9
0,113,4,4,5,5,5,5,3,3,2,2,2,2,2,2,2,3,4,3,4,4,2,2,4,3,3,4,5,4,4,4,4,3,3,3,5,4,4,4,5,3,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3
0,114,5,4,5,7,5,6,7,6,4,5,6,10,10,11,10,8,2,3,2,2,3,3,2,2,3,3,3,3,5,3,3,4,4,3,4,4,5,5,4,4,3,3,3,3,3,4,3,4,4,4,4,4,3,3,3,2
0,115,6,5,6,6,6,5,6,6,6,7,6,7,7,7,5,5,6,7,6,7,8,6,3,4,4,3,4,5,5,4,4,3,3,2,3,3,4,4,3,3,3,3,3,4,4,3,3,3,3,6,7,7,7,7,4,3
0,116,3,5,5,5,6,7,5,5,5,5,4,4,6,5,4,4,5,4,3,5,5,4,4,6,5,4,5,5,3,3,4,4,3,3,4,3,2,3,3,2,2,2,2,2,2,2,3,3,3,2,2,2,1,2,2,2
0,117,5,5,5,5,4,4,4,4,4,3,3,3,3,2,3,3,3,3,3,3,3,3,4,3,4,4,5,4,4,4,4,3,3,3,4,4,4,4,5,3,4,3,3,3,3,3,4,4,3,3,4,2,3,3,4,3
0,118,4,4,3,3,4,4,4,5,6,5,5,8,7,6,5,5,2,3,3,3,3,4,4,4,4,5,5,6,6,5,5,5,4,5,5,5,4,4,4,4,3,3,3,3,3,4,4,4,5,5,5,6,7,7,6,5
