,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,45.0,2.0470493277588374e-07,4.520900475617731e-10,1.462950568882839e-10,4.6337521916891263e-10,1.7759578307569432e-09,4.354916120191316e-09,8.364798143762365e-09,1.3558207075191162e-08,2.0745300916498617e-08,2.9970983322821364e-08,4.092487482293081e-08,5.3966279350696344e-08,6.971420327766389e-08,9.570183324702588e-08
0,49.0,0.0020235664711121043,0.0018169428881447437,0.001625729775303762,0.0014472310915965925,0.0012810075579349875,0.001126591104555887,0.0009834569209048027,0.0008513938853495764,0.0007298848050969775,0.0006186892790298648,0.00051748792804658,0.00042599759004048886,0.00034395638370611763,0.00025183839027799774
0,50.0,1.7891817766476767e-05,1.7960422929182836e-05,1.8290514993324308e-05,1.8679794335103815e-05,1.910434727606789e-05,1.9568924629771426e-05,2.007543905702707e-05,2.0893427219467578e-05,2.1222352930609296e-05,2.186850461864715e-05,2.256404749769146e-05,2.3310840389952976e-05,2.4126814543369405e-05,2.32187149932188e-05
0,65.0,1.791265065770097e-05,1.6028189979837546e-05,1.4725199194537325e-05,1.3507209466703668e-05,1.2367555058464459e-05,1.1301525341655007e-05,1.030550460616376e-05,9.376753205962427e-06,8.507162815355709e-06,7.697630722320029e-06,6.942344663863292e-06,6.2404576668637925e-06,5.586290980659913e-06,4.650987196563392e-06
0,67.0,1.510356544720026e-05,1.5899783215875352e-05,1.686564530778548e-05,1.8016846180608298e-05,1.9252901846496338e-05,2.057864355559747e-05,2.1999474120295593e-05,2.3527123580232582e-05,2.514623289379391e-05,2.689470806438641e-05,2.8752972540347624e-05,3.0739489854022e-05,3.286146083251396e-05,3.260742637448753e-05
0,71.0,9.240067502249203e-07,7.313910032338018e-07,1.1688968508226303e-06,1.715932277120133e-06,2.3711669981868802e-06,3.1414429632376023e-06,4.030490387062339e-06,5.0473473558852094e-06,6.181752465771648e-06,7.448588988577363e-06,8.889103508654409e-06,1.0406777590300778e-05,1.210595797781558e-05,1.2953211719441491e-05
0,72.0,1.1837639642812574e-05,8.134330905450716e-06,5.95809613196529e-06,4.10740537147573e-06,2.589127549479169e-06,1.4074684668488497e-06,5.756858213889933e-07,1.0746705412894663e-07,1.4091023035149898e-08,3.177387155530226e-07,1.0359546245809723e-06,2.1888129138345806e-06,3.807098638466163e-06,5.873410828053024e-06
0,73.0,1.8697848648015242e-05,1.655555869857902e-05,1.4968932867728665e-05,1.3476659338622258e-05,1.2097263301241298e-05,1.08101713602041e-05,9.610919523220446e-06,8.498133772540082e-06,7.466824824573816e-06,6.513430533195649e-06,5.636352738616262e-06,4.828905192108757e-06,4.091373318116834e-06,3.201101803032697e-06
0,76.0,3.242683949638599e-05,3.0045762143226657e-05,2.82731879510114e-05,2.6628661799587438e-05,2.5093919416499743e-05,2.365087456690643e-05,2.2308714527211335e-05,2.1052751001146603e-05,1.9879691819583375e-05,1.878667511024368e-05,1.7763743284763964e-05,1.6808842592693137e-05,1.5912858435329405e-05,1.4018233922665188e-05
0,79.0,2.3278677867914598e-05,2.5297056369854434e-05,2.7751292274015414e-05,3.043926916409832e-05,3.335749159070663e-05,3.654666786027674e-05,4.0021915074267664e-05,4.380516043123574e-05,4.792696545692039e-05,5.241569110184648e-05,5.730099448917593e-05,6.261088645226391e-05,6.84074834643758e-05,6.949899959370881e-05
